lead_id,lead_source,customer_age_group,customer_location,vehicle_type,new_or_used,budget_range,finance_enquiry,trade_in,test_drive_completed,quote_provided,previous_customer,response_time_hours,follow_up_count,days_since_enquiry,converted
L0001,Walk-in,35-44,Nearby Suburb,Hatchback,Used,Medium,1,0,1,0,0,18.8,5,38,1
L0002,Social Media,35-44,Nearby Suburb,Sedan,New,High,0,0,0,1,1,4.0,2,20,1
L0003,Carsales,18-24,Local,SUV,Demo,Low,1,1,0,0,0,5.5,2,29,0
L0004,Carsales,25-34,Nearby Suburb,SUV,Used,Low,0,0,1,0,0,2.9,2,6,0
L0005,Website,25-34,Nearby Suburb,Sedan,New,Medium,1,1,0,0,0,7.2,2,9,0
L0006,Website,25-34,Far Suburb,SUV,Demo,High,0,0,1,1,0,7.7,4,5,1
L0007,Website,35-44,Far Suburb,Ute,Used,Medium,0,0,0,1,0,8.2,3,39,0
L0008,Referral,35-44,Local,SUV,New,Low,1,0,1,1,0,36.2,1,19,0
L0009,Carsales,35-44,Nearby Suburb,Hatchback,Used,Medium,0,1,0,0,0,16.0,5,5,0
L0010,Carsales,45-54,Local,EV,New,High,1,0,1,1,0,9.1,2,20,1
L0011,Website,45-54,Nearby Suburb,SUV,Used,High,0,0,1,0,0,13.3,3,11,0
L0012,Social Media,45-54,Local,Sedan,Used,High,0,0,0,1,0,5.9,0,27,0
L0013,Referral,55+,Local,SUV,Demo,Low,0,0,1,1,1,31.8,1,29,1
L0014,Website,18-24,Local,Hatchback,Used,Low,0,0,1,1,0,16.5,3,7,0
L0015,Website,25-34,Nearby Suburb,Hatchback,Used,Medium,0,1,0,0,1,15.0,2,3,0
L0016,Website,18-24,Local,Sedan,Used,High,0,0,1,1,1,21.8,2,5,1
L0017,Walk-in,35-44,Nearby Suburb,Sedan,New,Low,0,1,0,0,0,27.0,3,13,0
L0018,Phone,55+,Local,Ute,Used,Low,1,0,1,1,0,4.1,2,16,1
L0019,Phone,25-34,Local,SUV,Used,Medium,0,1,0,0,0,20.1,3,12,0
L0020,Walk-in,55+,Nearby Suburb,SUV,New,Low,1,1,0,0,0,12.6,5,39,0
L0021,Carsales,18-24,Local,Ute,New,Medium,0,0,0,0,0,11.4,3,27,0
L0022,Website,55+,Local,Hatchback,Demo,Medium,1,1,0,0,1,24.8,5,33,0
L0023,Walk-in,25-34,Nearby Suburb,Ute,Demo,Medium,0,1,1,0,0,4.4,4,15,1
L0024,Walk-in,18-24,Local,Hatchback,New,Medium,0,0,1,1,1,9.2,4,21,1
L0025,Phone,35-44,Local,Ute,New,Medium,0,0,0,1,0,8.3,4,44,0
L0026,Carsales,25-34,Local,Sedan,New,Medium,0,1,0,1,1,12.5,2,17,1
L0027,Website,25-34,Far Suburb,Ute,Demo,Medium,1,0,1,1,0,12.9,2,37,0
L0028,Phone,25-34,Nearby Suburb,EV,New,Medium,0,0,0,0,0,19.6,5,15,1
L0029,Carsales,45-54,Nearby Suburb,Hatchback,Used,Medium,1,1,0,1,0,9.8,5,20,1
L0030,Website,35-44,Nearby Suburb,SUV,New,Low,0,0,0,0,0,26.1,1,19,1
L0031,Carsales,25-34,Local,SUV,Used,Low,0,1,0,1,0,13.5,3,1,0
L0032,Website,35-44,Local,SUV,New,Low,1,1,0,0,1,4.1,8,4,1
L0033,Website,45-54,Nearby Suburb,SUV,Used,Low,0,1,1,0,0,6.1,3,3,1
L0034,Social Media,25-34,Local,SUV,New,Medium,1,0,0,0,1,15.0,6,8,1
L0035,Social Media,25-34,Local,Hatchback,Used,High,0,0,1,0,0,12.8,1,41,0
L0036,Referral,25-34,Local,Hatchback,New,Medium,1,0,0,0,1,12.4,3,44,0
L0037,Walk-in,25-34,Local,Sedan,Used,Medium,0,0,0,0,0,28.6,2,5,0
L0038,Website,35-44,Far Suburb,Hatchback,Demo,Medium,1,0,1,1,0,18.3,1,9,0
L0039,Carsales,25-34,Local,SUV,New,Medium,1,0,0,1,1,7.0,2,1,0
L0040,Phone,35-44,Nearby Suburb,SUV,Demo,Medium,0,0,0,0,0,8.5,3,43,0
L0041,Website,45-54,Local,SUV,Used,Low,0,0,1,0,0,6.7,4,30,0
L0042,Phone,18-24,Far Suburb,Sedan,New,Low,0,0,0,1,0,4.9,2,7,0
L0043,Website,35-44,Local,SUV,New,Medium,1,1,1,0,0,29.9,2,22,0
L0044,Social Media,25-34,Local,SUV,New,High,0,1,0,1,0,12.8,3,20,1
L0045,Walk-in,55+,Nearby Suburb,Sedan,Used,Low,0,1,1,0,0,3.5,5,29,0
L0046,Carsales,35-44,Nearby Suburb,Ute,Used,Low,0,0,0,1,0,24.5,3,27,0
L0047,Walk-in,45-54,Local,SUV,New,Medium,0,1,0,1,0,5.4,3,25,1
L0048,Phone,35-44,Local,Hatchback,Used,Low,1,1,1,1,0,11.3,2,35,1
L0049,Phone,18-24,Local,Hatchback,Used,High,1,0,1,1,0,10.1,1,27,0
L0050,Website,35-44,Local,Ute,Demo,Medium,0,0,0,0,0,2.6,3,11,0
L0051,Social Media,55+,Local,EV,Used,High,1,0,0,0,1,1.5,4,17,1
L0052,Carsales,35-44,Nearby Suburb,SUV,Demo,Medium,0,0,0,1,1,16.1,2,31,0
L0053,Social Media,45-54,Local,SUV,Used,Medium,0,0,1,1,0,21.0,1,18,0
L0054,Referral,45-54,Local,Ute,New,Medium,0,0,1,0,1,11.8,5,19,0
L0055,Carsales,25-34,Nearby Suburb,Sedan,Used,Medium,1,1,1,1,0,42.2,2,38,0
L0056,Social Media,25-34,Far Suburb,Hatchback,Used,Medium,1,0,0,0,1,5.8,2,29,0
L0057,Website,35-44,Nearby Suburb,Hatchback,Used,Low,1,0,1,0,0,2.0,5,15,1
L0058,Website,25-34,Local,Hatchback,Used,Medium,0,1,0,1,0,13.0,1,7,0
L0059,Website,45-54,Local,EV,Used,Medium,0,0,0,0,0,4.3,3,37,0
L0060,Walk-in,55+,Far Suburb,EV,Used,High,0,1,0,1,0,9.2,6,37,1
L0061,Walk-in,25-34,Local,Hatchback,New,Medium,1,0,1,0,0,18.5,4,7,0
L0062,Walk-in,25-34,Local,SUV,New,Medium,1,1,1,0,0,6.3,6,22,1
L0063,Referral,45-54,Nearby Suburb,Ute,Used,Low,1,0,0,1,0,9.2,0,12,1
L0064,Walk-in,25-34,Nearby Suburb,SUV,Used,Medium,0,0,1,1,0,20.4,3,8,1
L0065,Walk-in,45-54,Nearby Suburb,SUV,New,Medium,0,0,1,0,0,8.3,5,18,1
L0066,Phone,35-44,Local,Ute,Used,High,0,1,0,0,0,13.0,3,28,0
L0067,Website,35-44,Local,SUV,Used,High,0,1,0,0,0,14.2,4,18,0
L0068,Referral,18-24,Far Suburb,SUV,New,Low,0,0,1,0,0,8.4,1,31,0
L0069,Website,35-44,Local,SUV,New,High,0,1,1,1,0,8.6,7,17,1
L0070,Social Media,35-44,Nearby Suburb,Ute,New,Low,0,0,0,1,1,9.4,2,23,0
L0071,Carsales,35-44,Nearby Suburb,Sedan,Demo,Medium,1,1,0,0,1,5.8,4,11,0
L0072,Website,25-34,Nearby Suburb,Hatchback,New,Medium,1,1,0,0,0,12.6,4,15,0
L0073,Website,45-54,Local,SUV,New,Low,0,0,0,1,0,5.9,1,30,0
L0074,Referral,45-54,Local,Ute,Used,Medium,0,0,1,1,0,6.5,3,31,1
L0075,Carsales,25-34,Nearby Suburb,Ute,New,Low,0,1,0,1,1,4.4,3,6,0
L0076,Carsales,18-24,Far Suburb,SUV,New,Low,1,1,1,1,0,21.4,6,12,1
L0077,Carsales,18-24,Far Suburb,Sedan,New,Medium,1,1,0,0,0,3.1,4,23,0
L0078,Website,35-44,Local,SUV,Used,Medium,1,1,0,0,0,29.1,3,39,0
L0079,Walk-in,35-44,Local,EV,Used,High,1,0,0,1,0,8.8,3,40,1
L0080,Website,35-44,Far Suburb,Hatchback,New,Medium,0,1,1,1,0,7.0,3,36,0
L0081,Referral,25-34,Nearby Suburb,EV,New,Medium,0,0,1,0,0,4.4,3,35,0
L0082,Carsales,25-34,Far Suburb,SUV,Demo,Medium,0,1,1,0,0,4.8,4,3,0
L0083,Walk-in,35-44,Local,Ute,New,Low,0,0,0,0,0,5.9,3,42,0
L0084,Website,35-44,Nearby Suburb,Ute,New,Low,1,0,0,1,0,49.3,1,28,0
L0085,Walk-in,55+,Nearby Suburb,Hatchback,New,Medium,0,0,0,0,0,5.9,4,15,0
L0086,Walk-in,25-34,Nearby Suburb,EV,Used,Medium,0,0,0,0,0,13.3,5,13,0
L0087,Carsales,45-54,Local,Sedan,Used,Medium,0,0,1,1,1,8.0,5,19,0
L0088,Carsales,25-34,Local,SUV,New,Medium,1,1,0,0,0,30.6,3,40,0
L0089,Referral,35-44,Nearby Suburb,Hatchback,Used,Medium,0,1,1,0,0,11.1,3,18,0
L0090,Phone,45-54,Local,Hatchback,New,Low,1,0,0,0,0,3.6,5,31,0
L0091,Website,45-54,Nearby Suburb,Hatchback,New,Low,0,1,0,0,0,6.7,3,37,1
L0092,Carsales,55+,Far Suburb,SUV,Used,High,0,1,0,0,0,37.9,2,21,1
L0093,Carsales,25-34,Local,Sedan,New,Medium,0,0,0,1,0,16.5,3,39,0
L0094,Phone,18-24,Far Suburb,SUV,Used,High,1,0,1,1,0,9.2,1,5,0
L0095,Carsales,45-54,Local,Sedan,New,Low,0,1,1,0,0,4.6,4,17,0
L0096,Phone,35-44,Nearby Suburb,Hatchback,Used,High,1,1,0,0,0,5.0,5,19,0
L0097,Phone,25-34,Far Suburb,Ute,New,Low,0,0,0,1,0,4.0,3,4,0
L0098,Walk-in,18-24,Local,SUV,Demo,Low,0,0,1,0,0,2.4,3,26,1
L0099,Website,18-24,Local,Sedan,New,High,1,0,1,0,0,15.8,1,24,0
L0100,Website,55+,Local,SUV,Demo,Low,0,0,1,1,0,14.0,2,39,0
L0101,Website,25-34,Local,SUV,New,Medium,1,0,0,0,0,10.5,2,38,0
L0102,Carsales,25-34,Nearby Suburb,Ute,Used,Low,1,0,0,0,0,23.3,6,19,0
L0103,Walk-in,25-34,Far Suburb,EV,New,Medium,0,1,1,0,0,15.4,5,30,0
L0104,Phone,25-34,Local,Sedan,Demo,High,1,1,1,0,0,2.9,4,26,1
L0105,Social Media,18-24,Local,Ute,New,Low,0,0,0,0,1,9.5,6,11,0
L0106,Website,35-44,Local,Ute,New,Medium,0,0,1,0,1,17.1,4,39,0
L0107,Walk-in,18-24,Nearby Suburb,Ute,Used,Low,0,1,1,0,0,9.6,1,3,0
L0108,Carsales,45-54,Local,SUV,New,Medium,1,1,0,1,0,10.3,6,22,1
L0109,Website,25-34,Nearby Suburb,EV,New,Low,0,1,0,0,0,2.4,2,17,1
L0110,Website,35-44,Nearby Suburb,Sedan,Demo,Low,1,1,0,0,0,6.0,2,11,0
L0111,Walk-in,45-54,Nearby Suburb,SUV,Demo,Low,1,0,0,1,1,13.3,3,39,0
L0112,Website,35-44,Local,SUV,New,Low,0,1,1,1,1,8.5,5,27,0
L0113,Social Media,35-44,Nearby Suburb,Sedan,Demo,High,0,0,0,0,1,2.7,3,43,0
